Fecha,Tasa_Referencia_PM,Expectativas_Economia,Tipo_Cambio_Promedio,PBI_Mensual,IPC
2024-08-01,5.5,51.9305019305019,3.74185,185.561064544166,114.322048
2024-09-01,5.25,51.7716535433071,3.7689619047619,186.157547080084,114.050464
2024-10-01,5.25,51.7374517374517,3.75436363636364,188.077509874163,113.944279
2024-11-01,5.0,50.5769230769231,3.779135,189.141726955437,114.051561
2024-12-01,5.0,50.0,3.73553684210526,205.152412931891,114.172077
2025-01-01,4.75,52.5925925925926,3.74692272727273,174.452318511484,114.065534
2025-02-01,4.75,54.5454545454545,3.69685,172.186942827537,114.279991
2025-03-01,4.75,53.9344262295082,3.65248571428571,179.881141140626,115.205841
2025-04-01,4.75,52.1311475409836,3.70003,184.0980289293,115.572272
2025-05-01,4.5,53.9655172413793,3.65991428571429,192.100252600936,115.507003
2025-06-01,4.5,52.9032258064516,3.60219523809524,185.368159971926,115.655637
2025-07-01,4.5,54.5454545454545,3.556945,190.440393664288,115.9233
